	subjid	epochs	badchans	Quality (1<bad> - 5<good>)	Description	Resolution	Movement	DAQFlairing
'sub-ON02747/ses-01/meg/sub-ON02747_ses-01_task-rest_run-01_meg.ds'	ON02747			2 (fixable)	DAQ flairing	Needs ICA		1
 'sub-ON02811/ses-01/meg/sub-ON02811_ses-01_task-rest_run-01_meg.ds'	ON02811		['MLO42', 'MZO03']	5				
 'sub-ON02811/ses-01/meg/sub-ON02811_ses-01_task-rest_run-02_meg.ds'	ON02811			Not Evalled (repeat)				
 'sub-ON03748/ses-01/meg/sub-ON03748_ses-01_task-rest_run-01_meg.ds'	ON03748			2	Muscle Artifact			
 'sub-ON05311/ses-01/meg/sub-ON05311_ses-01_task-rest_run-01_meg.ds'	ON05311			4	Slow Left Fronto/temporal drifts			
 'sub-ON05530/ses-01/meg/sub-ON05530_ses-01_task-rest_run-01_meg.ds'	ON05530		0	5	Some eyeblinks			
 'sub-ON06910/ses-01/meg/sub-ON06910_ses-01_task-rest_run-01_meg.ds'	ON06910			5	Some eyeblinks - looks very drowsy			
 'sub-ON08392/ses-01/meg/sub-ON08392_ses-01_task-rest_run-01_meg.ds'	ON08392		0	2 (fixable)	DAQ flairing	Needs ICA		1
 'sub-ON08643/ses-01/meg/sub-ON08643_ses-01_task-rest_run-01_meg.ds'	ON08643		['MRO11']	4	Low amplitude			
 'sub-ON08710/ses-1/meg/sub-ON08710_ses-1_task-rest_run-01_meg.ds'	ON08710	2 (weird start and end)	0	3.5	Low amplitude – general noise, but ok			
 'sub-ON08792/ses-01/meg/sub-ON08792_ses-01_task-rest_run-01_meg.ds'	ON08792			5	Looks drowsy			
 'sub-ON09540/ses-1/meg/sub-ON09540_ses-1_task-rest_run-01_meg.ds'	ON09540			4.5	Some weird low freq stuff (looks physio) – some blinks			
 'sub-ON09760/ses-1/meg/sub-ON09760_ses-1_task-rest_run-01_meg.ds'	ON09760	10	0	3	Low freq artifact – some muscle art			
 'sub-ON09766/ses-1/meg/sub-ON09766_ses-1_task-rest_run-01_meg.ds'	ON09766	4	0	4.5	A few muscle arts that are set as bad			
 'sub-ON10965/ses-01/meg/sub-ON10965_ses-01_task-rest_run-01_meg.ds'	ON10965	5		4	Some initial eyeblinks and low freq - a few muscles that were removed			
 'sub-ON11394/ses-01/meg/sub-ON11394_ses-01_task-rest_run-01_meg.ds'	ON11394	4	0	4	DAQ flairing (low amplitude - removed through badepo) / could be fixed			1
 'sub-ON12688/ses-01/meg/sub-ON12688_ses-01_task-rest_run-01_meg.ds'	ON12688	8	['MRP44']	4	DAQ flairing (low amplitude - removed through badepo) / could be fixed			1
 'sub-ON13545/ses-01/meg/sub-ON13545_ses-01_task-rest_run-01_meg.ds'	ON13545			4	Frontal is low amplitude – could be placement in the sensor			
 'sub-ON13986/ses-01/meg/sub-ON13986_ses-01_task-rest_run-01_meg.ds'	ON13986		['MRC54']	4	Low frequency art			
 'sub-ON21976/ses-01/meg/sub-ON21976_ses-01_task-rest_run-01_meg.ds'	ON21976		['MRP41']	2.5	Low frequency art / dental -- otherwise good (maybe possible cleanup case)			
 'sub-ON22671/ses-01/meg/sub-ON22671_ses-01_task-rest_run-01_meg.ds'	ON22671			2 (fixable)	DAQ flairing	Some mild low frequency		1
 'sub-ON23483/ses-01/meg/sub-ON23483_ses-01_task-rest_run-01_meg.ds'	ON23483	3		3	Low freq art (intermittent – possibly removed in epochs)			
 'sub-ON25658/ses-01/meg/sub-ON25658_ses-01_task-rest_run-01_meg.ds'	ON25658	9		3 (improvable)	DAQ flairing (low amp – removed) + low freq art			1
 'sub-ON25939/ses-01/meg/sub-ON25939_ses-01_task-rest_run-01_meg.ds'	ON25939	5		3.5	Eye or low freq fronto/temporal			
 'sub-ON26105/ses-1/meg/sub-ON26105_ses-1_task-rest_run-01_meg.ds'	ON26105			4	Some minor slow frontal			
 'sub-ON26309/ses-01/meg/sub-ON26309_ses-01_task-rest_run-01_meg.ds'	ON26309	6		4	DAQ flairing (removed)			1
 'sub-ON28693/ses-01/meg/sub-ON28693_ses-01_task-rest_run-01_meg.ds'	ON28693	2		2	A lot of dental artifact			
 'sub-ON33221/ses-1/meg/sub-ON33221_ses-1_task-rest_run-01_meg.ds'	ON33221	4		5	Some intermittent muscle (marked bad)			
 'sub-ON33827/ses-01/meg/sub-ON33827_ses-01_task-rest_run-01_meg.ds'	ON33827	3		5	Very minor muscle marked			
 'sub-ON39099/ses-01/meg/sub-ON39099_ses-01_task-rest_run-01_meg.ds'	ON39099	7	['MLT36']	3.5	Long duration weird artifact			
 'sub-ON40397/ses-01/meg/sub-ON40397_ses-01_task-rest_run-01_meg.ds'	ON40397	3		5				
